,Business_Name,BusinessContact_FirstName,BusinessContact_LastName,Business_City,Business_State,PrimaryNAICSCode,Business_ClientID
93,"Advance Air & Heat Co., Inc.",Karen,DeSousa,East Freetown,MA,238210,20170037
94,"Advance Air & Heat Co., Inc.",Karen,DeSousa,East Freetown,MA,238210,20170037
95,"Advance Demolition, LLC",Jose,Alicea,Methuen,MA,"562910, 238910",20140053
96,"Advanced Detail Cleaning Service, Inc.",Jose,Centeio,Dorchester,MA,"561720, 561740",20070312
98,"Advanced Masonry & Restoration, Inc.",Miguel A.,Rivera,Holyoke,MA,"238990, 238140",20000084
99,"Advanced Masonry & Restoration, Inc.",Miguel A.,Rivera,Holyoke,MA,"238990, 238140",20000084
102,"Advancing Wellness, LLC",Mari A.,Ryan,Watertown,MA,541690,20130320
103,"Advancing Wellness, LLC",Mari A.,Ryan,Watertown,MA,541690,20130320
104,"Advans IT Services, Inc.",Peo,Nathan,Marlborough,MA,"541512, 518210, 561320, 541511",20100106
105,"Advans IT Services, Inc.",Peo,Nathan,Marlborough,MA,"541512, 518210, 561320, 541511",20100106
107,Advantage Global Logistics Corp,Maureen E.,Powers,Randolph,MA,488510,20130038
108,Advantage Global Logistics Corp,Maureen E.,Powers,Randolph,MA,488510,20130038
109,"Advoqt, LLC",Reinier,Moquete,Boston,MA,"541511, 541512, 541519, 541613",20130192
112,"Affordable Construction, Inc.",Richard,Prosper,Dorchester,MA,"236118, 236116, 236220, 236115",20090418
113,"Agency Landscape + Planning, LLC",Gina,Ford,Cambridge,MA,541320,
115,"Agilient, LLC",Usha,Akkipeddi,Framingham,MA,"541513, 541519, 541611, 541618, 541511, 541512",20140292
116,"Agustina Harmon d/b/a: El Molino, LLC",Agustina,Harmon,Southborough,MA,"541930, 611691",20110288
118,"Air Control Systems, Inc. d/b/a: Commercial Air Control",Izuh,Obinelo,Weymouth,MA,238220,20170145
121,"Air Water Energy Engineers, Inc.",George Shiping,Hu,Burlington,MA,541330,20080024
122,"Air-Mart, Inc. d/b/a: Air-Mart Heating and Cooling",Richard,Martir,Lowell,MA,,20190107
132,"Aisha Densmore-Bey, Designer",Aisha,Densmore-Bey,Boston,MA,"541430, 541410",20120213
133,"Akal Engineering, Inc.",Anup,Khatra,Berlin,MA,"541330, 541512",20040371
134,"Akal Engineering, Inc.",Anup,Khatra,Berlin,MA,"541330, 541512",20040371
135,"Akshay Thotangare d/b/a: ACUBE Associates, LLC",Akshay,Thotangare,Bedford,MA,,20190011
136,"Albanese Brothers, Inc.",Marcella,Albanese,Dracut,MA,"237110, 236220, 237310, 237990, 425120",20110147
137,"Albanese Brothers, Inc.",Marcella,Albanese,Dracut,MA,"237110, 236220, 237310, 237990, 425120",20110147
140,"Aldore Tetreault & Sons, Inc.",Diane,Tetreault,Mendon,MA,238910,20080285
141,"Aldore Tetreault & Sons, Inc.",Diane,Tetreault,Mendon,MA,238910,20080285
143,"Alexandria Bus, Inc.",Hayam,Ibrahim,Springfield,MA,485510,
144,Algar Construction Corporation,Victor,Guerreiro,Brockton,MA,237310,19970112
145,Algar Construction Corporation,Victor,Guerreiro,Brockton,MA,237310,19970112
150,"All Purpose, LLC",Ademar,Mendes,Brockton,MA,811219,20180003
151,"All State Waste, Inc.",Donna A.,Pederzani,Bridgewater,MA,562111,19990121
152,"All State Waste, Inc.",Donna A.,Pederzani,Bridgewater,MA,562111,19990121
153,"All Time Service, Inc.",Janet,Peguero,Jamaica Plain,MA,"561720, 238330, 238990, 238320",20100335
154,"All Time Service, Inc.",Janet,Peguero,Jamaica Plain,MA,"561720, 238330, 238990, 238320",20100335
155,"Allez Consulting, Inc. d/b/a: Z-Tech",Laura,Surman-Estrada,Lexington,MA,"541513, 541511, 541512",19970066
156,"Allez Consulting, Inc. d/b/a: Z-Tech",Laura,Surman-Estrada,Lexington,MA,"541513, 541511, 541512",19970066
157,"Alliance Community Connections, Inc.",John,Njine,Woburn,MA,621610,20180056
158,"Alliance Home Care Visiting Nurse Agency, Inc.",Francoise,Charles,Woburn,MA,621610,20100260
159,"Allied Care, LLC",Murana,Paul,Peabody,MA,,20190127
160,"Allieum, LLC",Vihann,Kong,Boston,MA,541611,20170248
163,"Alpha Identification, Inc.",Frank,Ng,Grafton,MA,423410,19920108
164,"Alpha NE Electronics, LLC",AhJin,Ryoo,Woburn,MA,,20190087
172,AM Enterprises Corp,Paul,Mwai,Lawrence,MA,562910,20170206
173,"Amazing Painting Company, LLC",Saulo,Peixoto,Amesbury,MA,"238320, 238310, 238350",20130282
174,"Amazing Painting Company, LLC",Saulo,Peixoto,Amesbury,MA,"238320, 238310, 238350",20130282
175,"America One Technologies, Inc.",Edward,Jones,Braintree,MA,"611420, 541513, 541519",20010274
176,"American Chinese Christian Educational Social Services, Inc.",Pasang,Drolma,Boston,MA,"611710, 624190",20010103
177,"American Electrical Construction, Inc.",Dawn,Podielsky,Plymouth,MA,238210,20080209
178,"American Electrical Construction, Inc.",Dawn,Podielsky,Plymouth,MA,238210,20080209
179,"American Environmental, Inc.",Jose Julio,Bermejo,Holyoke,MA,"562910, 238910",20090224
180,"American Green Building Construction Services, Inc. d/b/a: AGB Construction Services",Ariel A.,"Peguero, Sr.",Dedham,MA,"238130, 238330, 238160, 238390, 238320, 238140, 238310",20140194
181,"American Green Building Services, Inc.",Ariel A.,Peguero,Dedham,MA,"561720, 561730, 561740, 561790, 238330, 238160, 237310, 238320, 238140, 424690, 541690",20110045
182,"American Green Building Services, Inc.",Ariel A.,Peguero,Dedham,MA,"561720, 561730, 561740, 561790, 238330, 238160, 237310, 238320, 238140, 424690, 541690",20110045
183,"American Translation Partners, Inc.",Crystal,Polly,Buzzards Bay,MA,541930,20110310
184,"Ameriglobal Construction Services, Inc.",Ruddy,Abreu,Methuen,MA,238910,20180197
185,"Amerphil, Inc.",Robert,Mercado,Melrose,MA,"236220, 238910, 484110",19950227
186,"Amerphil, Inc.",Robert,Mercado,Melrose,MA,"236220, 238910, 484110",19950227
190,AMW Marketing,Angela,Wilcox,Norfolk,MA,541613,20110139
191,Amy Kvistad Design,Amy,Kvistad,Beverly,MA,"541430, 541511, 541613",20090111
192,Amy Kvistad Design,Amy,Kvistad,Beverly,MA,"541430, 541511, 541613",20090111
193,"Analogue Studio, LLC",Vince,Pan,Boston,MA,541310,20170086
194,"Analytica Insights, Inc.",Annette,Turner,Methuen,MA,"541720, 611710",20180042
195,"Analytical Evaluation Consultants, LLC",Lori,McCreary Lewis,Groton,MA,541720,20000235
196,"Analytical Evaluation Consultants, LLC",Lori,McCreary Lewis,Groton,MA,541720,20000235
197,"Analytical Evaluation Consultants, LLC",Lori,McCreary Lewis,Groton,MA,541720,20000235
198,"Analytix Business Solutions, LLC",Satish,Patel,Woburn,MA,,20190072
199,"Andella Iron, Inc.",Carlos R.,Perlera,Everett,MA,238120,20130225
200,"Andella Iron, Inc.",Carlos R.,Perlera,Everett,MA,238120,20130225
201,"Anderson Cleaning, Inc.",Trina,Gomes,West Springfield,MA,"561720, 561740, 424130, 238990, 423810, 424690",20130202
202,"Anderson Cleaning, Inc.",Trina,Gomes,West Springfield,MA,"561720, 561740, 424130, 238990, 423810, 424690",20130202
203,"Andy Ramos Electric, LLC",Andy,Ramos,Holyoke,MA,238210,20080435
204,"Andy Ramos Electric, LLC",Andy,Ramos,Holyoke,MA,238210,20080435
205,"Andy Ramos Electric, LLC",Andy,Ramos,Holyoke,MA,238210,20080435
211,"Anthony Desmond Contracting, LLC",Richard Joseph,Zaccaro,Quincy,MA,"238160, 238170, 423330, 238320, 238910, 561320, 238110",20140068
212,"Antonellis Construction, Inc.",Loreto,Antonellis,Newton,MA,"237310, 238910, 484220",19920263
213,"Antonellis Construction, Inc.",Loreto,Antonellis,Newton,MA,"237310, 238910, 484220",19920263
214,"Anvil Steel Engineering, Inc.",Lamont K.,Davis,Taunton,MA,"238120, 237990, 238190, 237310",20140271
215,"Anvil Steel Engineering, Inc.",Lamont K.,Davis,Taunton,MA,"238120, 237990, 238190, 237310",20140271
216,"Anvil Steel Engineering, Inc.",Lamont K.,Davis,Taunton,MA,"238120, 237990, 238190, 237310",20140271
218,"Apex Construction & Environmental, Inc.",Miles,Iyamu,Dorchester,MA,"236118, 238350, 238320, 562910",20160079
219,"A-Plus Welding & Engineering, Inc.",Edward,Jordan,Roxbury,MA,"238120, 237990, 238190, 423390",20080347
220,"A-Plus Welding & Engineering, Inc.",Edward,Jordan,Roxbury,MA,"238120, 237990, 238190, 423390",20080347
221,"Apogee Human Services Consultants, LLC",Sheila,LeGrand,Medford,MA,621330,20170011
222,"applied Form + Space, LLC",James,Thornhill,Andover,MA,541310,20140170
223,"applied Form + Space, LLC",James,Thornhill,Andover,MA,541310,20140170
225,ApproMed Corp.,Oliver,Udemba,Boston,MA,621610,20140302
226,"Approved Government Solutions, LLC",Stephanie,Yang-Sammataro,Andover,MA,,20190136
227,"APSS Futuristics, LLC",Amit,Saini,Acton,MA,"561320, 541511, 541512",20140019
230,"Aquatic Restoration Consulting, LLC",Wendy,Gendron,Ashburnham,MA,541620,20110206
231,"Aquatic Restoration Consulting, LLC",Wendy,Gendron,Ashburnham,MA,541620,20110206
232,"Aqueduct Technologies, Inc.",Jaclyn,Steele,Waltham,MA,541512,20170113
233,"Aquent, LLC",John,Chuang,Boston,MA,561320,20050297
237,"Arch Professional Group, Inc., The",Charles W.,Bradley,Milton,MA,541310,20090072
238,"Arch Professional Group, Inc., The",Charles W.,Bradley,Milton,MA,541310,20090072
241,"Archipelago Strategies Group, Inc. d/b/a: ASG",Josiane,Martinez,Boston,MA,"541613, 541820",20140305
242,"Archipelago Strategies Group, Inc. d/b/a: ASG",Josiane,Martinez,Boston,MA,"541613, 541820",20140305
243,"Architects Forum, Inc., The",Chalermpol,Intha,Newton,MA,541310,19840060
244,"Architectural Engineers, Inc.",Robin,Greenleaf,Boston,MA,541330,19880001
245,"Architectural Engineers, Inc.",Robin,Greenleaf,Boston,MA,541330,19880001
246,"Architectural Solutions, Inc.",Shikha,Jindal,Milton,MA,541310,20170086
250,"Argus Communications, Inc.",Lucas,Guerra,Boston,MA,"541810, 541830",19970058
252,"Arimann Building Services, Inc.",Craig,Engerman,Randolph,MA,"561720, 238320, 561210",20120286
253,"Arimann Building Services, Inc.",Craig,Engerman,Randolph,MA,"561720, 238320, 561210",20120286
259,"Arrow Time Consultants, LLC",Laidy R.,Saenz,Somerville,MA,541611,20140257
260,"Arrow Time Consultants, LLC",Laidy R.,Saenz,Somerville,MA,541611,20140257
261,ART Engineering Corporation,Azim,Rawji,Worcester,MA,541330,20030063
262,ART Engineering Corporation,Azim,Rawji,Worcester,MA,541330,20030063
266,"Asaman, Inc.",Elvis,Usumanu,Avon,MA,424210,20140007
267,"Asare Engineering and Capital Services, Inc.",Davis,Asare,Worcester,MA,541330,20170151
272,"Asian American Civic Association, Inc.",Chau-ming,Lee,Boston,MA,"236117, 624190",19920142
273,Asian Task Force Against Domestic Violence,Cristina,Ayala,Boston,MA,"624221, 624190",20060110
276,"Asset Performance Management, Inc.",Clare C.,Conley,Jamaica Plain,MA,"541611, 541690",20000198
277,"Asset Performance Management, Inc.",Clare C.,Conley,Jamaica Plain,MA,"541611, 541690",20000198
278,"Associated Advocacy Center-Visions for the Future, Inc.",Antoinette,Saunders,Sandwich,MA,"611710, 624190, 813319",20100388
279,"Assurance Homecare, LLC",Marsha,Davis,Haverhill,MA,621610,20150213
280,"Assure eServices, Inc.",Priya,Babu,Burlington,MA,541512,20110227
281,"ATA Services, Inc.",Lucila,Viana,Marstons Mills,MA,"561720, 561740",20160001
282,"ATA Services, Inc.",Lucila,Viana,Marstons Mills,MA,"561720, 561740",20160001
283,Atkinson-Whitworth Corporation d/b/a: Jet-A-Way,Darlene,Jeter,Abington,MA,562111,19820006
284,"Atlantic Bay Contracting Co., Inc.",Allen,Young,Allston,MA,"562910, 238350, 238990, 562211, 238320, 444190, 561720",19980184
288,"Atlantic Construction & Management, Inc.",Suresh,Bhatia,Concord,MA,"236220, 237310, 541330, 236210",20100297
289,"Atlantic Diversified Mason Contractors, Inc. d/b/a: ADM",Joyce,Leitl,Belchertown,MA,"238140, 561790, 238390",20110091
290,"Atlantic Diversified Mason Contractors, Inc. d/b/a: ADM",Joyce,Leitl,Belchertown,MA,"238140, 561790, 238390",20110091
291,"Atlantic Engineering Associates, Inc.",Julia,Brachanow,North Reading,MA,541370,20140138
294,"ATW Line Painting, LLC",Christopher W.,Perreira,Dighton,MA,"237310, 561730, 561790, 238110, 237110, 238990",20180053
295,"ATW Line Painting, LLC",Christopher W.,Perreira,Dighton,MA,"237310, 561730, 561790, 238110, 237110, 238990",20180053
296,"Audrey O'Hagan Architects, LLC",Audrey,O'Hagan,Newton,MA,"541310, 541410",20070136
297,"Augment Systems, LLC",Anuradha,Surendran,Westford,MA,541512,20190130
298,"Augment Systems, LLC",Anuradha,Surendran,Westford,MA,541512,20190130
299,"Aurora Transportation Services, LLC",Anthony,Contreras,Swampscott,MA,485999,20150294
300,"Aurora Transportation Services, LLC",Anthony,Contreras,Swampscott,MA,485999,20150294
302,"Avant-Garde Solutions, Ltd.",Ratna,Narayanan,Framingham,MA,541512,20100287
303,"Avant-Garde Solutions, Ltd.",Ratna,Narayanan,Framingham,MA,541512,20100287
304,"AVCO Consulting, Inc.",Vijay,Nalamada,Worcester,MA,"541511, 541512",20120228
306,"Awake IntuMind, LLC",Edna,Laurent-Tellus,Brockton,MA,621330,20160291
307,"Axess Medical, LLC",Jonathan R.,Perham,Middleton,MA,425120,20090363
310,"Axiom Collaborative, Inc.",Donna H.,Goulet,Franklin,MA,"561311, 561320",20120256
311,"Axiom Collaborative, Inc.",Donna H.,Goulet,Franklin,MA,"561311, 561320",20120256
312,"Axxion Company, LLC, The",Eric,Taub,Holyoke,MA,"236220, 238910, 541330, 238130, 238170",20160325
313,"Axxion Company, LLC, The",Eric,Taub,Holyoke,MA,"236220, 238910, 541330, 238130, 238170",20160325
314,"Ayala Enterprise, LLC",Alberto,Ayala,Springfield,MA,"236115, 236116, 236220",20120153
315,"Ayala Excavating and Trucking, LLC",Manuel A.,Ayala,Springfield,MA,"238910, 488490, 561730, 238110, 237310",20110251
316,"Ayala Excavating and Trucking, LLC",Manuel A.,Ayala,Springfield,MA,"238910, 488490, 561730, 238110, 237310",20110251
317,"Ayer Moving & Storage Co., II, Inc.",Karen,Strickland,Ayer,MA,484121,19930275
318,"Ayer Moving & Storage Co., II, Inc.",Karen,Strickland,Ayer,MA,484121,19930275
319,"Aztec Technologies, Inc.",Roop,Kumar,Foxboro,MA,,20070139
321,"B&F Home Care Services, Inc. d/b/a: Visiting Angels",Buteau,Francois,Chelsea,MA,,20180253
322,"B&G Services, Inc. d/b/a: 1-800-GOT-JUNK?",Judith M.,Briggs,Framingham,MA,"562119, 561790",20040057
323,"B&G Services, Inc. d/b/a: 1-800-GOT-JUNK?",Judith M.,Briggs,Framingham,MA,"562119, 561790",20040057
326,"B.D. Nayak Architects & Planners, Inc.",Bhagchand,Nayak,Braintree,MA,541310,19850126
327,"B.D. Nayak Architects & Planners, Inc.",Bhagchand,Nayak,Braintree,MA,541310,19850126
329,"B+AC, LLC",Balram,Chamaria,Chelsea,MA,541330,20140211
330,"B+AC, LLC",Balram,Chamaria,Chelsea,MA,541330,20140211
331,"Baker Steel Detailing, LLC",Christine,Baker,Fall River,MA,"541330, 541340, 425120",20060237
332,"Baker Steel Detailing, LLC",Christine,Baker,Fall River,MA,"541330, 541340, 425120",20060237
333,"Bangel Groups, Inc.",Monir,Saji,Burlington,MA,722513,
336,Bascom Environmental Co.,Troy,Bascom,Billerica,MA,"562910, 238320",20120100
337,Bascom Environmental Co.,Troy,Bascom,Billerica,MA,"562910, 238320",20120100
340,"Batallas Electric, Inc.",Raul,Batallas,Fitchburg,MA,238210,20110301
341,"Batallas Electric, Inc.",Raul,Batallas,Fitchburg,MA,238210,20110301
342,"Batista Environmental Tech, LLC",Joldie,Batista,Lawrence,MA,562910,20180220
343,Bautista Masonry Corporation,Eder,Bautista,Waltham,MA,238140,20180125
344,"BayAssociates, Inc.",Luckner,Bayas,Mattapan,MA,541330,20000101
345,"BayAssociates, Inc.",Luckner,Bayas,Mattapan,MA,541330,20000101
346,"BayState Home Guard, Inc.",Derrick J.,Hatwood,Springfield,MA,562910,20000044
347,"Baytownies, LLC",Ligia M.,Landim,Quincy,MA,"561720, 561740",20160046
350,"BBCG, LLC d/b/a: Vantage Graphics",Benjamin,Chow,Norwood,MA,323111,20060195
354,"Beals & Sons, Inc.",Cindy,Beals,Northborough,MA,238910,20070119
355,"Beals & Sons, Inc.",Cindy,Beals,Northborough,MA,238910,20070119
356,"Beantown Builders and Properties, Inc.",Donald,Donnalson,Brockton,MA,"236118, 236116, 236220, 236115",20160053
357,"Beantown Builders and Properties, Inc.",Donald,Donnalson,Brockton,MA,"236118, 236116, 236220, 236115",20160053
359,"Belgrave Business Group, Inc. d/b/a: Puroclean Certified Restoration Specialist",Nigel,Belgrave,Auburn,MA,562910,20170023
360,"Belgrave Business Group, Inc. d/b/a: Puroclean Certified Restoration Specialist",Nigel,Belgrave,Auburn,MA,562910,20170023
361,"Belgrave Business Group, Inc. d/b/a: Puroclean Certified Restoration Specialist",Nigel,Belgrave,Auburn,MA,562910,20170023
362,"Bell Advantage Consulting, Inc.",Susan,Bell,Cohasset,MA,541618,20090464
363,"Bell Advantage Consulting, Inc.",Susan,Bell,Cohasset,MA,541618,20090464
364,Bell Associates,Belinda Louie,Luscinskas,Milton,MA,"541330, 541620",19950048
365,Bell Associates,Belinda Louie,Luscinskas,Milton,MA,"541330, 541620",19950048
368,Berkshire Cascade,Kitchell,Lee,Shelburne,MA,"531210, 531320, 541330, 541922",19960154
371,"Berkshire Environmental Consultants, Inc.",Maura J.,Hawkins,Pittsfield,MA,541620,20160002
372,"Berkshire Environmental Consultants, Inc.",Maura J.,Hawkins,Pittsfield,MA,541620,20160002
375,"Berkshire Resources for Integration of Diverse Groups and Education, Inc.",Gwendolyn,Hampton VanSant,Lee,MA,"611710, 541930",20110145
376,Berkshire Wetland Services,Gail,Ceresia,Lee,MA,541620,19970272
377,Berkshire Wetland Services,Gail,Ceresia,Lee,MA,541620,19970272
378,"Best Choice Abatement & Demolition, Inc.",Manuel,Joaquin,Methuen,MA,"238130, 238350, 238330, 238160, 238320, 238910, 561730, 562910, 238310",20040342
379,"Best Choice Abatement & Demolition, Inc.",Manuel,Joaquin,Methuen,MA,"238130, 238350, 238330, 238160, 238320, 238910, 561730, 562910, 238310",20040342
380,"Best Personal In-Home Care Services, LLC",Chintan,Patel,Brockton,MA,621610,20180244
381,"Best Personal In-Home Care Services, LLC",Chintan,Patel,Brockton,MA,621610,20180244
382,"Best Quality Maintenance Services, Inc.",Arisleyda,Santana,West Roxbury,MA,561720,20050138
383,"BestPro Cleaning, LLC",Diana,Gallego,Worcester,MA,561720,20120311
386,"Betts Plumbing & Heating Supply, Inc.",Kimberly,Betts,Westfield,MA,"423720, 444190, 423730",20130200
387,"Betts Plumbing & Heating Supply, Inc.",Kimberly,Betts,Westfield,MA,"423720, 444190, 423730",20130200
388,"Bevco Associates, Inc.",Beverley,Johnson,Boston,MA,541611,19910019
389,"Bevco Associates, Inc.",Beverley,Johnson,Boston,MA,541611,19910019
390,"Bhargav Computer Consultants USA-MA, Inc.",Ramesh,Dronamraju,Norwood,MA,541512,20080434
392,"Big East Security Integrations, LLC",Marcus,Vaughn,Wrentham,MA,561621,20180210
393,"Big Game Outfitters, Inc.",Christine,O'Shea,Hamilton,MA,"541430, 541890, 323113",20080073
394,"Bill Andrade And Sons, Inc.",William P.,Andrade,Onset,MA,238910,19870010
395,Bimsha Corporation,Michael,Bascomb,Acton,MA,561720,19930260
397,Binsight Partners,George,Ogbonnanze,Sharon,MA,541511,20170083
398,"Biodirect, Inc.",Francine,Tula,Taunton,MA,423420,20110294
399,"BK Tile & Stone, LLC",Kelly,Whitaker,Greenfield,MA,"444190, 238340",20160259
400,"BK Tile & Stone, LLC",Kelly,Whitaker,Greenfield,MA,"444190, 238340",20160259
401,"BKV Office Solutions, LLC",Bryan,Vinson,Norwood,MA,541990,20170093
402,"Black Star Transit, LLC",Edward,Cage,Amherst,MA,,20180212
403,"Blakely Consulting, LLC",Pieta,Blakely,Dorchester,MA,541990,20170101
405,"Blu North Group, LLC",David,Dwumah,Rehoboth,MA,541519,20180137
406,"Blue Dynasty Entertainment & Travel, LLC",Jeanne,Richardson,Mattapan,MA,561510,20170048
411,"Boggs Properties, LLC",George,Boggs,Dorchester,MA,236118,20050019
412,"Boston Asian: Youth Essential Services, (YES) Inc.",Jane,Leung,Boston,MA,624110,19850088
413,"Boston Chinatown Neighborhood Center, Inc.",David,Jacobs,Boston,MA,"813410, 624110",20010007
414,"Boston Development Collaborative, LLC",James E.,"Cofield, Jr.",Boston,MA,"236220, 531210, 531390",20140105
415,"Boston India Holdings, Inc. d/b/a: Talentburst, Inc.",Bharat,Singh,Natick,MA,541512,20050155
416,"Boston Tops, Inc.",Kim,Flynn,Hanover,MA,453220,
417,"Boston Urban Development, LLC",Pamela,McDermott,Boston,MA,531390,20150077
418,"BostonTech Partners, Inc.",Douglas,Lee,Norwood,MA,"541511, 541512, 541519",20080130
419,Boyo Communications,Jean,Thevenin,Brockton,MA,238210,20170024
420,Boyo Communications,Jean,Thevenin,Brockton,MA,238210,20170024
421,"Boys & Girls Club Family Center, Inc.",Keshawn,Dodds,Springfield,MA,624190,19940219
422,"BP Design, LLC",Bertha,Pantoja,Cambridge,MA,,20190013
424,"Brava Electric & Telecom, Inc.",Afonso,Andrade,Brockton,MA,238210,20100159
425,"Brava Electric & Telecom, Inc.",Afonso,Andrade,Brockton,MA,238210,20100159
427,"Breakpoint Services, Inc.",Mahesh,Menghani,Waltham,MA,"541511, 541512",20170150
428,Bredy Network Management Corporation,Eryck,Bredy,Andover,MA,"541512, 541519",20110260
429,Breezie Cleaning and Janitorial Services,Brittany,McLemore,Roxbury,MA,561720,20180153
